,doi,title,publication_year,citation,language,source_name,topic,authors,institutions,topics,concepts
0,https://doi.org/10.14203/jki.v0i0.571,DAMPAK PANDEMI COVID-19 DALAM PERSPEKTIF GENDER DI INDONESIA,2020,94,en,Jurnal Kependudukan Indonesia,Gender and Women's Rights,['Ikfina Chairani'],['Badan Pusat Statistik'],"[""Gender and Women's Rights"", 'Marriage and Family Dynamics']","['Pandemic', 'Coronavirus disease 2019 (COVID-19)', 'Unemployment', 'Productivity', 'Economic growth', 'Health care', 'Work (physics)', 'Development economics', 'Political science', 'Business', 'Economics', 'Medicine', 'Mechanical engineering', 'Disease', 'Pathology', 'Infectious disease (medical specialty)', 'Engineering']"
1,https://doi.org/10.21154/ijougs.v1i2.2317,KESETARAAN GENDER DALAM LINGKUP PENDIDIKAN DAN TATA SOSIAL,2021,77,id,IJouGS Indonesian Journal of Gender Studies,Gender and Women's Rights,['Yuni Sulistyowati'],['Universitas Merdeka Ponorogo'],"[""Gender and Women's Rights""]","['Patriarchy', 'Gender studies', 'Humanities', 'Sociology', 'Political science', 'Art']"
2,https://doi.org/10.35967/njip.v20i1.134,Analisis Kesetaraan Gender dalam Bidang Ketenagakerjaan Di Indonesia,2021,58,id,Nakhoda Jurnal Ilmu Pemerintahan,Gender and Women's Rights,"['Yeni Nuraeni', 'Ivan Lilin Suryono']","['Badan Penelitian dan Pengembangan Kesehatan', 'Badan Penelitian dan Pengembangan Kesehatan']","[""Gender and Women's Rights""]","['Political science', 'Humanities', 'Business administration', 'Business', 'Art']"
3,https://doi.org/10.56393/nomos.v1i6.602,Kesetaraan Gender dalam Perspektif Hak Asasi Manusia,2022,28,id,Deleted Journal,Gender and Women's Rights,['Dhea Januastasya Audina'],['Mulawarman University'],"[""Gender and Women's Rights""]",['Political science']
4,https://doi.org/10.47268/sasi.v26i2.224,KESETARAAN GENDER DITINJAU DARI SUDUT PANDANG NORMATIF DAN SOSIOLOGIS,2020,29,en,SASI,Gender and Women's Rights,"['Zulkifli Ismail', 'Melanie Pita Lestari', 'Panti Rahayu', 'Fransiska Novita Eleanora']","['Universitas Bhayangkara Jakarta Raya', 'Universitas Bhayangkara Jakarta Raya', 'Universitas Bhayangkara Jakarta Raya', 'Universitas Bhayangkara Jakarta Raya']","[""Gender and Women's Rights"", 'Legal and Social Justice Studies', 'Legal and Policy Analysis in Indonesia']","['Injustice', 'Economic Justice', 'Normative', 'Political science', 'Legislation', 'Government (linguistics)', 'Sociology', 'Law', 'Philosophy', 'Linguistics']"
5,https://doi.org/10.24239/msw.v15i1.2046,GENDER DALAM PERSPEKTIF ISLAM,2023,16,en,Musawa Journal for Gender Studies,Gender and Women's Rights,['Nurlaila Al-Aydrus'],['Universitas Muhammadiyah Palu'],"[""Gender and Women's Rights"", 'Marriage and Family Dynamics', 'Education and Character Development']","['Islam', 'Civilization', 'Perception', 'Gender equality', 'Sociology', 'Representation (politics)', 'Fundamental human needs', 'Gender studies', 'Social psychology', 'Psychology', 'Environmental ethics', 'Political science', 'Law', 'Epistemology', 'Philosophy', 'Theology', 'Politics']"
6,https://doi.org/10.22212/kajian.v23i1.1872,KESETARAAN GENDER DAN PERTUMBUHAN EKONOMI DI INDONESIA,2020,19,en,Kajian,Gender and Women's Rights,['Samsul Arifin'],['Sultan Ageng Tirtayasa University'],"[""Gender and Women's Rights""]","['Gender equality', 'Life expectancy', 'Empowerment', 'Productivity', 'Literacy rate', 'Context (archaeology)', 'Gender mainstreaming', 'Poverty', 'Demographic economics', 'Economics', 'Economic growth', 'Political science', 'Development economics', 'Population', 'Gender studies', 'Demography', 'Sociology', 'Geography', 'Literacy', 'Archaeology']"
7,https://doi.org/10.24952/gender.v2i1.2168,Pandangan Islam Tentang Gender,2020,12,id,Jurnal Kajian Gender dan Anak,Gender and Women's Rights,['Muhammad Roihan Daulay'],['IAIN Palangka Raya'],"[""Gender and Women's Rights"", 'Islamic Finance and Communication', 'Marriage and Family Dynamics']",['Political science']
8,https://doi.org/10.14421/ajis.2020.581.209-240,"Gender Glass Ceiling in Indonesia: Manifestation, Roots, and Theological Breakthrough",2020,19,id,Al-Jami ah Journal of Islamic Studies,Gender and Women's Rights,['Siti Ruhaini Dzuhayatin'],['Sunan Kalijaga State Islamic University Yogyakarta'],"[""Gender and Women's Rights""]","['Glass ceiling', 'Ceiling (cloud)', 'Islam', 'Politics', 'Political science', 'Gender studies', 'Sociology', 'Religious studies', 'Law', 'Theology', 'Philosophy', 'Geography', 'Meteorology']"
9,https://doi.org/10.15575/azzahra.v1i1.9253,Problem Gender dalam Perspektif Psikologi,2020,13,id,Az-Zahra Journal of Gender and Family Studies,Gender and Women's Rights,['Ibrahim Nur A'],['Sunan Gunung Djati State Islamic University Bandung'],"[""Gender and Women's Rights"", 'Student Stress and Coping', 'Food Security and Socioeconomic Dynamics']","['Humanities', 'Psychology', 'Philosophy']"
