,doi,title,publication_year,citation,language,source_name,topic,authors,institutions,topics,concepts
0,https://doi.org/10.23920/acta.v5i2.904,IMPLEMENTASI KESETARAAN GENDER DALAM BEBERAPA ASPEK KEHIDUPAN BERMASYARAKAT DI INDONESIA,2022,9,id,Acta Diurnal Jurnal Ilmu Hukum Kenotariatan dan ke-PPAT-an,Gender and Women's Rights,['Sonny Dewi Judiasih'],['Padjadjaran University'],"[""Gender and Women's Rights""]","['Humanities', 'Art']"
1,https://doi.org/10.20473/jhi.v14i1.13310,Tantangan Budaya dalam Mewujudkan Kesetaraan Gender di India dan Solusinya,2021,5,en,Jurnal Hubungan Internasional,Gender and Women's Rights,"['Agneta Kristalia Tedjo', 'Mohammad Daffa Ramadhan', 'Muhammad Daffa Dirgantara', 'Raden Arief Meivio Bahari']","['Padjadjaran University', 'Padjadjaran University', 'Padjadjaran University', 'Padjadjaran University']","[""Gender and Women's Rights"", 'Demographic Trends and Gender Preferences', 'International Human Rights and Reproductive Law']","['Functional illiteracy', 'Gender equality', 'Harm', 'Government (linguistics)', 'Gender studies', 'Convention', 'Human rights', 'Position (finance)', 'Inequality', 'Sociology', 'Political science', 'Economic growth', 'Social science', 'Law', 'Economics', 'Mathematics', 'Mathematical analysis', 'Linguistics', 'Philosophy', 'Finance']"
2,https://doi.org/10.24198/umbara.v6i2.33721,Ketimpangan Gender di Layar Perak: Representasi Perempuan di Film Terlaris Indonesia,2021,5,en,Indonesian Journal of Anthropology,Gender and Women's Rights,['Maghfira Fitra Yuliantini'],['Padjadjaran University'],"[""Gender and Women's Rights"", 'Media, Gender, and Advertising']","['Indonesian', 'Depiction', 'Representation (politics)', 'Gender studies', 'Film industry', 'Gender role', 'Sociology', 'Psychology', 'Political science', 'Art', 'Movie theater', 'Literature', 'Politics', 'Law', 'Linguistics', 'Philosophy']"
3,https://doi.org/10.24114/jupiis.v12i1.15568,Analisis Peran Gender dalam Pengasuhan Anak pada Keluarga Etnis Jawa dan Sunda di Wilayah Perbatasan,2020,7,en,JUPIIS JURNAL PENDIDIKAN ILMU-ILMU SOSIAL,Gender and Women's Rights,"['Noeranisa Adhadianty Gunawan', 'Nunung Nurwati', 'Bintarsih Sekarningrum']","['Padjadjaran University', 'Padjadjaran University', 'Padjadjaran University']","[""Gender and Women's Rights"", 'Food Security and Socioeconomic Dynamics', 'Child Development and Education']","['Ethnic group', 'Gender studies', 'Sociology', 'Documentation', 'Psychology', 'Anthropology', 'Programming language', 'Computer science']"
4,https://doi.org/10.25077/jantro.v24.n1.p90-99.2022,"Tragedi dalam Harmoni: Budaya, Gender, dan Kekerasan pada Perempuan di Jawa Barat",2022,5,en,Jurnal Antropologi Isu-Isu Sosial Budaya,Gender and Women's Rights,"['Yulianingsih Yulianingsih', 'Erna Herawati']","['Padjadjaran University', 'Padjadjaran University']","[""Gender and Women's Rights"", 'Legal and Social Justice Studies', 'Marriage and Family Dynamics']","['Neglect', 'Sexual violence', 'Harmony (color)', 'Persecution', 'Domestic violence', 'Qualitative research', 'Psychology', 'Gender studies', 'Socioeconomics', 'Sociology', 'Political science', 'Geography', 'Criminology', 'Poison control', 'Suicide prevention', 'Social science', 'Medicine', 'Art', 'Environmental health', 'Psychiatry', 'Politics', 'Law', 'Visual arts']"
5,https://doi.org/10.32502/jbs.v4i2.2401,STEREOTIP GENDER DALAM NOVEL MALIK & ELSA KARYA BOY CANDRA,2020,3,id,Jurnal Bindo Sastra,Gender and Women's Rights,['Tania Intan'],['Padjadjaran University'],"[""Gender and Women's Rights"", 'Education, Sociology, Communication Studies', 'Food Security and Socioeconomic Dynamics']","['Humanities', 'Sociology', 'Art', 'Philosophy']"
6,https://doi.org/10.22219/satwika.v6i1.20250,Konstruksi gender dalam sastra anak Sunda Nala karya Darpan,2022,3,id,Satwika Kajian Ilmu Budaya dan Perubahan Sosial,Gender and Women's Rights,"['Eka Ayu Wahyuni', 'Aquarini Priyatna', 'Tisna Prabasmoro']","['Padjadjaran University', 'Padjadjaran University', 'Padjadjaran University']","[""Gender and Women's Rights"", 'Educational Methods and Media Use', 'Linguistics and Language Analysis']","['Art', 'Humanities']"
7,https://doi.org/10.20884/1.ins.2022.9.1.5128,Gender Construction in Southeast Asia Through a Social Constructivism Perspective,2022,2,id,Insignia Journal of International Relations,Gender and Women's Rights,"['Ahnaf Fairuzuhdy Aslam', 'Erika Intan Hulieta', 'Ammar Bianda Katon']","['Padjadjaran University', 'Padjadjaran University', 'Padjadjaran University']","[""Gender and Women's Rights"", 'Islamic Finance and Communication']","['Gender studies', 'Southeast asia', 'Political science', 'Politics', 'Sociology', 'Ethnology', 'Law']"
8,https://doi.org/10.17509/bs_jpbsp.v19i1.20757,IDEOLOGI GENDER DALAM BUKU AJAR BAHASA PRANCIS COSMOPOLITE 1,2020,1,id,Jurnal Pendidikan Bahasa dan Sastra,Gender and Women's Rights,"['Tania Intan', 'Sri Rijati', 'Ferli Hasanah']","['Padjadjaran University', 'Padjadjaran University', 'Padjadjaran University']","[""Gender and Women's Rights""]","['Humanities', 'Art', 'Sociology']"
9,https://doi.org/10.15294/rainbow.v12i1.60687,Gender stereotypes in a modern Javanese nuclear family in film Mudik (2020),2023,1,en,Rainbow Journal of Literature Linguistics and Cultural Studies,Gender and Women's Rights,"['Jordy Satria Widodo', 'Aquarini Priyatna', 'Raden Muhammad Mulyadi']","['Padjadjaran University', 'Padjadjaran University', 'Padjadjaran University']","[""Gender and Women's Rights"", 'Diverse Cultural Media Analysis', 'Cultural and Artistic Studies']","['Wife', 'Gender studies', 'Representation (politics)', 'Psychology', 'Power (physics)', 'Sociology', 'Nuclear family', 'Social psychology', 'Political science', 'Law', 'Anthropology', 'Physics', 'Quantum mechanics', 'Politics']"
